iter	Logloss
0	0.6669895128
1	0.6456906994
2	0.6298873142
3	0.6120371856
4	0.5995368528
5	0.5876954744
6	0.5777434939
7	0.5695552524
8	0.5616608784
9	0.5556942219
10	0.5492382813
11	0.5437515579
12	0.5381160307
13	0.5346342081
14	0.5310089031
15	0.5276300831
16	0.5240646925
17	0.5210858094
18	0.5181847809
19	0.515984215
20	0.5136969325
21	0.5121627823
22	0.5109966478
23	0.5092635595
24	0.5076211211
25	0.5069676286
26	0.5061794031
27	0.5046517878
28	0.5033613349
29	0.5020420759
30	0.5010088572
31	0.4999552033
32	0.4987821516
33	0.4983573008
34	0.4970346744
35	0.4961611032
36	0.4956161928
37	0.4947811457
38	0.4942228677
39	0.4933761559
40	0.4929534684
41	0.4926421282
42	0.4919262809
43	0.4914845608
44	0.4908439133
45	0.4905847343
46	0.4901013057
47	0.4894337523
48	0.4888156593
49	0.4885060264
50	0.4879804935
51	0.4876825715
52	0.4872993983
53	0.4871370561
54	0.4869280476
55	0.4866967709
56	0.4860105029
57	0.4857127806
58	0.4855090242
59	0.4853814295
60	0.4849145047
61	0.4846190966
62	0.4844219909
63	0.484223376
64	0.4839266638
65	0.4837996393
66	0.4836602252
67	0.4834859272
68	0.4833668938
69	0.4829601871
70	0.4828114371
71	0.482707912
72	0.4824991308
73	0.4822407727
74	0.4817470936
75	0.4815357392
76	0.4811206392
77	0.4807101746
78	0.4805090207
79	0.4801378905
80	0.4800194138
81	0.479790711
82	0.4796595183
83	0.4795091952
84	0.4793822191
85	0.4792712616
86	0.4791245492
87	0.4790374286
88	0.4787691161
89	0.4785822547
90	0.4784677903
91	0.4783731093
92	0.4782513968
93	0.478116255
94	0.4779906396
95	0.4776401503
96	0.4775294089
97	0.477426518
98	0.4773120273
99	0.4772104113
100	0.4770808792
101	0.4769836732
102	0.4766615787
103	0.476288954
104	0.4760907636
105	0.4758042802
106	0.4756922352
107	0.4756053219
108	0.475517033
109	0.4754092416
110	0.475011774
111	0.4747629658
112	0.4745923418
113	0.4743244369
114	0.4740112287
115	0.4737662663
116	0.4736632057
117	0.4733894846
118	0.4732803776
119	0.4731854926
120	0.4731131118
121	0.4729259433
122	0.4726751551
123	0.47249917
124	0.4723975448
125	0.4723209068
126	0.4722554473
127	0.4721526295
128	0.4720650593
129	0.471995641
130	0.4719183328
131	0.4718272376
132	0.471745342
133	0.4716805131
134	0.4715623713
135	0.4714507833
136	0.471209241
137	0.4710844211
138	0.4710069528
139	0.470895847
140	0.4706839609
141	0.4705542853
142	0.4704954755
143	0.4704181571
144	0.4703197549
145	0.4701583471
146	0.4700594209
147	0.4699895912
148	0.4698999348
149	0.4697557142
150	0.4696355281
151	0.4694849427
152	0.4693643791
153	0.4691767797
154	0.469068822
155	0.4690119558
156	0.4689368456
157	0.468831274
158	0.4687123847
159	0.4686199023
160	0.4685110511
161	0.4683823192
162	0.4683216006
163	0.4682100836
164	0.4681111315
165	0.4680127332
166	0.4678949741
167	0.4677759257
168	0.4676860972
169	0.4675846037
170	0.4674544964
171	0.4673285664
172	0.4672319789
173	0.4670332095
174	0.4669362544
175	0.4667032807
176	0.4665896262
177	0.4664466808
178	0.4663190731
179	0.4661114177
180	0.4659433817
181	0.4658389582
182	0.4657222657
183	0.4655910992
184	0.465456493
185	0.4652886343
186	0.4651448698
187	0.4650472887
188	0.4649200162
189	0.4648042864
190	0.4647097846
191	0.4646315255
192	0.4644409313
193	0.4643040224
194	0.4641699532
195	0.4640401125
196	0.4639522274
