iter	Passed	Remaining
0	220	220734
1	246	122875
2	269	89608
3	291	72676
4	315	62738
5	336	55733
6	360	51085
7	420	52161
8	449	49512
9	474	46928
10	498	44782
11	522	43049
12	548	41668
13	595	41971
14	626	41154
15	656	40375
16	687	39781
17	716	39084
18	746	38518
19	801	39294
20	827	38580
21	860	38260
22	884	37556
23	908	36960
24	931	36335
25	954	35759
26	982	35412
27	1011	35123
28	1035	34674
29	1058	34216
30	1080	33777
31	1100	33301
32	1123	32914
33	1144	32511
34	1165	32122
35	1186	31763
36	1209	31470
37	1232	31192
38	1255	30944
39	1278	30675
40	1300	30427
41	1325	30226
42	1345	29955
43	1368	29734
44	1391	29530
45	1434	29740
46	1458	29570
47	1478	29314
48	1500	29116
49	1527	29022
50	1549	28825
51	1572	28670
52	1596	28532
53	1619	28373
54	1647	28308
55	1668	28123
56	1691	27980
57	1718	27911
58	1743	27800
59	1764	27651
60	1787	27518
61	1812	27418
62	1838	27340
63	1859	27200
64	1882	27086
65	1904	26950
66	1928	26857
67	1950	26736
68	1974	26643
69	1995	26509
70	2018	26406
71	2041	26313
72	2062	26188
73	2083	26071
74	2105	25962
75	2126	25859
76	2149	25767
77	2171	25669
78	2192	25560
79	2214	25464
80	2233	25341
81	2256	25266
82	2276	25150
83	2297	25049
84	2319	24963
85	2342	24896
86	2367	24843
87	2386	24734
88	2408	24649
89	2430	24572
90	2454	24518
91	2474	24421
92	2494	24329
93	2515	24248
94	2539	24188
95	2563	24142
96	2584	24062
97	2605	23978
98	2627	23916
99	2647	23830
100	2673	23797
101	2694	23721
102	2714	23644
103	2738	23589
104	2761	23534
105	2781	23461
106	2804	23409
107	2824	23325
108	2844	23249
109	2864	23179
110	2887	23123
111	2910	23072
112	2929	22996
113	2952	22947
114	2975	22897
115	2996	22832
116	3017	22771
117	3038	22708
118	3059	22653
119	3081	22601
120	3104	22554
121	3159	22740
122	3186	22722
123	3209	22672
124	3230	22612
125	3252	22562
126	3272	22498
127	3296	22458
128	3315	22386
129	3337	22333
130	3358	22281
131	3382	22239
132	3403	22188
133	3425	22140
134	3448	22093
135	3472	22061
136	3497	22034
137	3518	21977
138	3538	21918
139	3557	21853
140	3582	21825
141	3602	21769
142	3624	21718
143	3644	21664
144	3667	21626
145	3693	21605
146	3715	21560
147	3738	21519
148	3759	21474
149	3783	21441
150	3807	21406
151	3829	21366
152	3851	21323
153	3873	21278
154	3896	21241
155	3916	21190
156	3936	21134
157	3956	21082
158	3976	21034
159	3997	20988
160	4019	20946
161	4040	20899
162	4059	20844
163	4080	20799
164	4100	20751
165	4122	20710
166	4144	20670
167	4167	20638
168	4187	20588
169	4207	20542
170	4229	20505
171	4252	20472
172	4274	20434
173	4300	20414
174	4321	20373
175	4345	20344
176	4368	20310
177	4391	20278
178	4412	20239
179	4437	20214
180	4458	20171
181	4479	20132
182	4500	20092
183	4521	20051
184	4543	20018
185	4566	19985
186	4586	19939
187	4609	19907
188	4632	19877
189	4655	19849
190	4694	19885
191	4720	19865
192	4745	19841
193	4768	19812
194	4790	19777
195	4812	19742
196	4833	19703
197	4854	19663
198	4875	19622
199	4897	19588
200	4916	19544
201	4937	19507
202	4959	19472
203	4983	19444
204	5004	19408
205	5028	19382
206	5047	19338
207	5067	19297
208	5089	19263
209	5112	19231
210	5133	19195
211	5155	19161
212	5177	19130
213	5201	19104
214	5223	19073
215	5242	19029
216	5264	18997
217	5284	18957
218	5307	18926
219	5328	18892
220	5351	18864
221	5374	18835
222	5394	18796
223	5425	18795
224	5445	18758
225	5466	18722
226	5487	18686
227	5522	18699
228	5546	18675
229	5570	18648
230	5591	18612
231	5611	18574
232	5634	18546
233	5654	18509
234	5677	18480
235	5697	18444
236	5719	18414
237	5739	18377
238	5763	18350
239	5783	18315
240	5805	18282
241	5826	18251
242	5847	18214
243	5868	18184
244	5892	18159
245	5915	18132
246	5939	18106
247	5962	18080
248	5983	18046
249	6005	18015
250	6025	17979
251	6050	17959
252	6073	17933
253	6095	17903
254	6118	17876
255	6142	17851
256	6161	17813
257	6187	17796
258	6209	17764
259	6230	17732
260	6252	17703
261	6273	17669
262	6294	17639
263	6314	17604
264	6335	17571
265	6356	17539
266	6377	17507
267	6398	17475
268	6420	17446
269	6440	17413
270	6460	17378
271	6480	17345
272	6502	17315
273	6522	17283
274	6542	17248
275	6562	17213
276	6583	17183
277	6607	17161
278	6630	17134
279	6651	17104
280	6674	17079
281	6695	17046
282	6716	17015
283	6737	16986
284	6757	16953
285	6778	16923
286	6798	16890
287	6822	16865
288	6845	16842
289	6869	16817
290	6891	16791
291	6913	16763
292	6933	16730
293	6957	16707
294	6979	16680
295	7002	16654
296	7022	16621
297	7042	16590
298	7061	16555
299	7081	16524
300	7102	16494
301	7124	16467
302	7145	16437
303	7167	16409
304	7191	16386
305	7212	16358
306	7234	16330
307	7256	16303
308	7278	16276
309	7299	16248
310	7319	16216
311	7346	16199
312	7368	16172
313	7387	16140
314	7410	16114
315	7431	16085
316	7453	16059
317	7476	16034
318	7498	16007
319	7519	15978
320	7541	15952
321	7563	15925
322	7585	15899
323	7606	15871
324	7627	15841
325	7650	15817
326	7669	15784
327	7689	15754
328	7711	15726
329	7733	15700
330	7753	15671
331	7772	15638
332	7795	15614
333	7816	15587
334	7837	15557
335	7859	15531
336	7881	15506
337	7903	15479
338	7924	15452
339	7943	15420
340	7967	15397
341	7988	15369
342	8011	15346
343	8030	15314
344	8053	15290
345	8076	15266
346	8099	15242
347	8121	15215
348	8142	15188
349	8164	15162
350	8188	15140
351	8208	15111
352	8230	15085
353	8250	15055
354	8269	15024
355	8289	14995
356	8309	14966
357	8331	14940
358	8352	14914
359	8376	14891
360	8401	14871
361	8423	14846
362	8446	14821
363	8468	14797
364	8489	14769
365	8511	14744
366	8531	14715
367	8555	14692
368	8577	14667
369	8601	14645
370	8620	14615
371	8644	14593
372	8666	14568
373	8689	14543
374	8709	14516
375	8731	14490
376	8753	14465
377	8774	14437
378	8810	14435
379	8837	14418
380	8858	14392
381	8879	14365
382	8902	14341
383	8921	14311
384	8942	14285
385	8961	14254
386	8984	14230
387	9004	14203
388	9024	14174
389	9045	14147
390	9064	14118
391	9084	14089
392	9105	14063
393	9127	14039
394	9148	14012
395	9170	13987
396	9193	13963
397	9212	13934
398	9234	13910
399	9257	13885
400	9275	13855
401	9297	13829
402	9319	13805
403	9338	13776
404	9359	13750
405	9380	13723
406	9402	13700
407	9425	13676
